Производитель,Модель,Критерий тяжести повреждений головы (HIC),Замедление грудной клетки,Нагрузка на левое бедро,Нагрузка на правое бедро,Место,Средство защиты,Кол-во дверей,Год выпуска,"Вес, кг",Тип кузова
Acura,Integra,599,35,791,262,Водитель,Ручной ремень безопасности,2,87,1066,lt
Acura,Integra RS,585,nd,1545,1301,Водитель,Моторизированный ремень безопасности,4,90,1129,lt
Acura,Legend LS,435,50,926,708,Водитель,Подушка безопасности у водителя ,4,88,1488,med
Audi,80,600,49,168,1871,Водитель,Ручной ремень безопасности,4,89,1266,comp
Audi,100,185,35,998,894,Водитель,Подушка безопасности у водителя ,4,89,1406,med
BMW,325i,1036,56,865,nd,Водитель,Подушка безопасности у водителя ,2,90,1298,comp
Buick,Century,815,47,1340,315,Водитель,Пассивный ремень безопасности,4,91,1357,comp
Buick,Elect. Park Ave,1467,54,712,1366,Водитель,Ручной ремень безопасности,4,88,1524,med
Buick,Le Sabre,nd,35,1049,908,Водитель,Пассивный ремень безопасности,2,90,1470,med
Buick,Regal,880,50,996,642,Водитель,Пассивный ремень безопасности,2,88,1456,med
Cadillac,De Ville,423,39,541,1629,Водитель,Подушка безопасности у водителя ,4,90,1588,hev
Chevrolet,Astro,1603,72,1572,700,Водитель,Ручной ремень безопасности,-,88,1718,van
Chevrolet,Astro,1849,64,2737,1043,Водитель,Ручной ремень безопасности,-,89,1815,van
Chevrolet,Beretta,343,37,659,523,Водитель,Подушка безопасности у водителя ,2,91,1212,comp
Chevrolet,Beretta GT,864,50,1692,1052,Водитель,Пассивный ремень безопасности,2,88,1311,comp
Chevrolet,Camaro,733,39,736,353,Водитель,Ручной ремень безопасности,2,87,1393,med
Chevrolet,Camaro,585,39,717,150,Водитель,Подушка безопасности у водителя ,2,91,1447,med
Chevrolet,Caprice,1328,64,406,493,Водитель,Ручной ремень безопасности,4,89,1675,hev
Chevrolet,Caprice,533,54,1529,613,Водитель,Подушка безопасности у водителя ,4,91,1810,hev
Chevrolet,Cavalier,770,49,775,531,Водитель,Пассивный ремень безопасности,4,90,1152,comp
Chevrolet,Corsica,772,44,1293,737,Водитель,Ручной ремень безопасности,4,88,1247,comp
Chevrolet,Corsica,493,41,1171,550,Водитель,Подушка безопасности у водителя ,4,91,1284,comp
Chevrolet,C-1500,892,47,942,622,Водитель,Ручной ремень безопасности,-,88,1669,pu
Chevrolet,G-20 Beauville,1387,67,1298,nd,Водитель,Ручной ремень безопасности,-,87,2217,van
Chevrolet,G-20,3665,97,1330,963,Водитель,Ручной ремень безопасности,-,88,1925,van
Chevrolet,Lumina,1200,58,782,nd,Водитель,Пассивный ремень безопасности,4,90,1431,med
Chevrolet,Suburban,1477,50,1911,257,Водитель,Ручной ремень безопасности,4,87,2549,mpv
Chevrolet,S-10 Blazer 4X4,834,62,nd,nd,Водитель,Ручной ремень безопасности,2,89,1596,mpv
Chevrolet,S-10 Blazer 4X4,772,74,1539,985,Водитель,Ручной ремень безопасности,2,90,1687,mpv
Chevrolet,S-10 Blazer 4X4,1026,71,2626,593,Водитель,Ручной ремень безопасности,4,91,1733,mpv
Chevrolet,S-10 Pickup,985,58,1441,1108,Водитель,Ручной ремень безопасности,-,87,1176,pu
Chevrolet,S-10 Pickup 4x4,1074,66,2234,643,Водитель,Ручной ремень безопасности,-,90,1524,pu
Chrysler,Fifth Ave,786,43,1132,667,Водитель,Подушка безопасности у водителя ,4,89,1733,hev
Chrysler,Imperial,517,43,767,979,Водитель,Подушка безопасности у водителя ,4,90,1606,hev
Chrysler,Le Baron,791,62,1008,1776,Водитель,Пассивный ремень безопасности,2,87,1302,comp
Chrysler,Le Baron,298,40,332,611,Водитель,Подушка безопасности у водителя ,2,90,1361,med
Chrysler,New Yorker,1362,55,730,1102,Водитель,Ручной ремень безопасности,4,88,1447,med
Chrysler,New Yorker,511,55,710,959,Водитель,Подушка безопасности у водителя ,4,91,1501,med
Daihatsu,Charade,768,43,574,598,Водитель,Ручной ремень безопасности,2,88,826,mini
Dodge,colt,1354,53,844,461,Водитель,Ручной ремень безопасности,4,88,1065,lt
Dodge,D-150,685,40,1481,361,Водитель,Ручной ремень безопасности,-,88,1610,pu
Dodge,Dakota,985,44,324,442,Водитель,Ручной ремень безопасности,-,87,1365,pu
Dodge,Dakota 4x4,1169,57,575,502,Водитель,Ручной ремень безопасности,-,90,1696,pu
Dodge,Daytona,399,39,729,908,Водитель,Подушка безопасности у водителя ,2,89,1266,comp
Dodge,Shadow,1488,49,1003,529,Водитель,Ручной ремень безопасности,2,87,1157,comp
Dodge,Shadow,503,42,1234,647,Водитель,Подушка безопасности у водителя ,4,91,1238,comp
Dodge,Spirit,1421,47,672,772,Водитель,Ручной ремень безопасности,4,89,1288,comp
Eagle,Medallion,745,41,1721,1574,Водитель,Моторизированный ремень безопасности,4,89,1243,comp
Eagle,Premier,877,46,742,765,Водитель,Ручной ремень безопасности,4,89,1388,med
Ford,Aerostar,1568,49,286,590,Водитель,Ручной ремень безопасности,-,87,1367,van
Ford,Bronco II 4x4,994,58,267,428,Водитель,Ручной ремень безопасности,2,89,1581,mpv
Ford,Club Wagon,2613,59,1526,688,Водитель,Ручной ремень безопасности,-,90,2315,van
Ford,Escort,551,42,1146,465,Водитель,Пассивный ремень безопасности,2,87,1034,lt
Ford,Escort,434,42,1403,2152,Водитель,Моторизированный ремень безопасности,2,91,1060,lt
Ford,Explorer 4x4,903,52,486,617,Водитель,Ручной ремень безопасности,4,91,1911,mpv
Ford,F-150,1074,56,1024,644,Водитель,Ручной ремень безопасности,-,88,1704,pu
Ford,Festiva,1014,52,976,747,Водитель,Ручной ремень безопасности,2,88,798,mini
Ford,Mustang LX,479,42,580,921,Водитель,Ручной ремень безопасности,2,87,1301,comp
Ford,Mustang,651,42,1353,1063,Водитель,Подушка безопасности у водителя ,2,90,1563,med
Ford,Probe,970,46,691,579,Водитель,Ручной ремень безопасности,2,89,1202,comp
Ford,Probe,550,42,1051,1501,Водитель,Моторизированный ремень безопасности,2,91,1275,comp
Ford,Ranger,977,52,739,344,Водитель,Ручной ремень безопасности,-,87,1210,pu
Ford,Ranger 4x4,1270,61,572,392,Водитель,Ручной ремень безопасности,-,90,1603,pu
Ford,Taurus,707,38,nd,455,Водитель,Ручной ремень безопасности,4,88,1424,med
Ford,Taurus,735,46,1219,581,Водитель,Подушка безопасности у водителя ,4,90,1397,med
Ford,Taurus,480,44,1901,328,Водитель,Подушка безопасности у водителя ,4,91,1492,med
Ford,Tempo,721,47,1113,1037,Водитель,Пассивный ремень безопасности,4,88,1207,comp
Ford,T-Bird,541,44,1224,1264,Водитель,Моторизированный ремень безопасности,2,89,1647,hev
Geo,Metro,951,nd,789,458,Водитель,Ручной ремень безопасности,2,89,721,mini
Geo,Metro,1075,56,805,465,Водитель,Ручной ремень безопасности,4,89,748,mini
Geo,Prizm,1030,47,1341,455,Водитель,Ручной ремень безопасности,4,90,1068,lt
Geo,Storm,417,47,394,478,Водитель,Подушка безопасности у водителя ,2,91,1021,lt
Honda,Accord,769,46,863,1244,Водитель,Пассивный ремень безопасности,2,87,1107,lt
Honda,Accord Dx,750,50,1361,1214,Водитель,Моторизированный ремень безопасности,4,91,1293,comp
Honda,Accord Lx,562,45,519,892,Водитель,Подушка безопасности у водителя ,4,91,1433,med
Honda,Civic,1068,50,996,765,Водитель,Моторизированный ремень безопасности,4,91,1021,lt
Honda,Civic Crx,750,39,361,791,Водитель,Ручной ремень безопасности,2,89,854,mini
Honda,Civic Dx,787,37,767,471,Водитель,Ручной ремень безопасности,2,88,942,lt
Honda,Prelude,1279,59,770,681,Водитель,Пассивный ремень безопасности,2,90,1202,comp
Hyundai,Excel,757,54,2408,1187,Водитель,Пассивный ремень безопасности,4,87,998,lt
Hyundai,Excel,716,55,790,1360,Водитель,Ручной ремень безопасности,2,87,989,lt
Hyundai,Excel,696,41,1385,1682,Водитель,Моторизированный ремень безопасности,2,90,998,lt
Hyundai,Scoupe,870,45,2532,1296,Водитель,Пассивный ремень безопасности,2,91,998,lt
Hyundai,Sonata,1196,54,869,1717,Водитель,Ручной ремень безопасности,4,89,1293,comp
Infiniti,M-30,466,43,936,844,Водитель,Подушка безопасности у водителя ,2,90,1529,med
Isuzu,Amigo,996,56,388,501,Водитель,Ручной ремень безопасности,2,90,1315,mpv
Isuzu,I-Mark,1809,53,351,365,Водитель,Ручной ремень безопасности,4,87,953,lt
Isuzu,Rodeo,1254,69,568,334,Водитель,Ручной ремень безопасности,4,91,1565,mpv
Isuzu,Spacecab,1764,65,274,483,Водитель,Ручной ремень безопасности,-,87,1255,pu
Isuzu,Spacecab,1873,59,325,397,Водитель,Ручной ремень безопасности,-,88,1419,pu
Isuzu,Stylus,580,57,1021,440,Водитель,Подушка безопасности у водителя ,4,91,1058,lt
Isuzu,Trooper II 4x4,1269,73,932,322,Водитель,Ручной ремень безопасности,4,89,1671,mpv
Isuzu,Trooper II 4x4,1564,60,262,307,Водитель,Ручной ремень безопасности,4,90,1671,mpv
Jeep,Cherokee 4x4,968,69,401,540,Водитель,Ручной ремень безопасности,4,89,1490,mpv
Jeep,Cherokee 4x4,943,58,785,1218,Водитель,Ручной ремень безопасности,4,90,1483,mpv
Jeep,Comanche,1052,62,925,319,Водитель,Ручной ремень безопасности,-,87,1319,pu
Jeep,Wrangler YJ 4x4,758,44,1100,1015,Водитель,Ручной ремень безопасности,2,87,1415,mpv
Lexus,ES250,992,55,1102,1012,Водитель,Подушка безопасности у водителя ,4,90,1488,med
Lincoln,Continental,863,48,314,1247,Водитель,Подушка безопасности у водителя  и пассажира,4,89,1683,hev
Lincoln,Town Car,471,40,1728,855,Водитель,Подушка безопасности у водителя  и пассажира,4,90,1851,hev
Mazda,626,846,52,820,1487,Водитель,Пассивный ремень безопасности,4,87,1175,comp
Mazda,929,273,51,1093,450,Водитель,Ручной ремень безопасности,4,88,1574,med
Mazda,Miata,920,59,1026,911,Водитель,Подушка безопасности у водителя ,2,90,993,lt
Mazda,Mpv,1038,58,803,927,Водитель,Ручной ремень безопасности,-,91,1692,van
Mazda,Protege,779,57,1700,nd,Водитель,Моторизированный ремень безопасности,4,91,1096,lt
Mazda,RX-7,921,39,186,268,Водитель,Ручной ремень безопасности,2,88,1193,comp
Mercedes,190E,800,60,705,582,Водитель,Подушка безопасности у водителя ,4,90,1387,med
Mercury,Sable,712,51,nd,862,Водитель,Ручной ремень безопасности,4,88,1451,med
Mercury,Topaz,743,64,585,957,Водитель,Подушка безопасности у водителя ,4,87,1236,comp
Mercury,Tracer,940,48,2073,658,Водитель,Ручной ремень безопасности,4,89,1034,lt
Mitsubishi,Eclipse,772,44,1152,499,Водитель,Моторизированный ремень безопасности,2,90,1177,comp
Mitsubishi,Galant,971,50,1613,584,Водитель,Ручной ремень безопасности,4,89,1243,comp
Mitsubishi,Galant,1024,61,1243,906,Водитель,Моторизированный ремень безопасности,4,91,1287,comp
Mitsubishi,Mirage,960,nd,827,1218,Водитель,Моторизированный ремень безопасности,4,89,1075,lt
Mitsubishi,Montero 4x4,1320,45,1303,329,Водитель,Ручной ремень безопасности,2,88,1496,mpv
Mitsubishi,Starion,952,48,1260,1369,Водитель,Пассивный ремень безопасности,2,87,1370,med
Mitsubishi,Wagon,805,49,1568,1427,Водитель,Ручной ремень безопасности,-,89,1561,van
Nissan,240sx,407,41,1234,687,Водитель,Моторизированный ремень безопасности,2,89,1216,comp
Nissan,200sx,1226,53,1390,103,Водитель,Ручной ремень безопасности,2,87,1242,comp
Nissan,300zx,765,54,1495,1668,Водитель,Подушка безопасности у водителя ,2,91,1508,med
Nissan,Axxess,1051,46,919,1257,Водитель,Пассивный ремень безопасности,-,90,1378,van
Nissan,Maxima,808,51,611,1409,Водитель,Моторизированный ремень безопасности,4,89,1433,med
Nissan,Maxima SE,907,64,1422,885,Водитель,Пассивный ремень безопасности,4,88,1456,med
Nissan,NL Xev Pickup,1528,67,242,655,Водитель,Ручной ремень безопасности,-,88,1193,pu
Nissan,Pickup,1465,57,252,420,Водитель,Ручной ремень безопасности,-,87,1231,pu
Nissan,Pickup,742,46,794,621,Водитель,Ручной ремень безопасности,-,89,1211,pu
Nissan,Pulsar Nx,1134,40,nd,226,Водитель,Ручной ремень безопасности,2,88,1125,lt
Nissan,Sentra,2034,61,803,304,Водитель,Ручной ремень безопасности,4,87,1041,lt
Nissan,Sentra,1047,53,880,1030,Водитель,Ручной ремень безопасности,4,88,1056,lt
Nissan,Sentra,583,46,1117,475,Водитель,Моторизированный ремень безопасности,2,91,1098,lt
Nissan,Stanza,1105,59,1404,813,Водитель,Моторизированный ремень безопасности,4,90,1266,comp
Nissan,Stanza,546,56,1803,413,Водитель,Моторизированный ремень безопасности,4,91,1243,comp
Nissan,Van Xe,949,54,1326,661,Водитель,Ручной ремень безопасности,-,88,1615,van
Oldsmobile,Calais,405,70,1085,1435,Водитель,Пассивный ремень безопасности,4,87,1202,comp
Oldsmobile,Delta 88,710,51,1350,520,Водитель,Подушка безопасности у водителя ,4,88,1569,med
Peugeot,505S,1983,64,966,1024,Водитель,Моторизированный ремень безопасности,4,89,1365,med
Peugeot,505,1831,60,300,535,Водитель,Ручной ремень безопасности,4,87,1315,comp
Peugeot,505 GLS,1701,60,1657,751,Водитель,Пассивный ремень безопасности,4,88,1393,med
Plymouth,Acclaim,663,46,1201,840,Водитель,Ручной ремень безопасности,4,89,1279,comp
Plymouth,Acclaim,762,55,1044,252,Водитель,Подушка безопасности у водителя ,4,91,1297,comp
Plymouth,Sundance,873,52,717,467,Водитель,Ручной ремень безопасности,4,87,1170,comp
Plymouth,Voyager,903,43,776,453,Водитель,Ручной ремень безопасности,-,87,1379,van
Pontiac,Grand Am,846,44,879,497,Водитель,Пассивный ремень безопасности,2,87,1148,comp
Pontiac,Le Mans,819,57,1263,378,Водитель,Ручной ремень безопасности,2,88,998,lt
Pontiac,Sunbird,603,36,428,483,Водитель,Ручной ремень безопасности,4,87,1095,lt
Pontiac,Trans Sport,761,42,1109,913,Водитель,Ручной ремень безопасности,-,90,1696,van
Renault,Medallion,1656,57,205,411,Водитель,Ручной ремень безопасности,4,88,1207,comp
Saab,900S,718,46,1776,nd,Водитель,Пассивный ремень безопасности,2,88,1288,comp
Saab,9000,584,37,120,435,Водитель,Ручной ремень безопасности,4,87,1356,comp
Saturn,SL2,918,44,1009,1178,Водитель,Моторизированный ремень безопасности,4,91,1113,lt
Subaru,GL,1339,58,1016,485,Водитель,Ручной ремень безопасности,4,87,1022,lt
Subaru,Justy DL,611,42,529,595,Водитель,Ручной ремень безопасности,2,87,753,mini
Subaru,Legacy,1007,52,1957,842,Водитель,Моторизированный ремень безопасности,4,90,1197,comp
Suzuki,Sidekick 4x4,1345,64,1595,2856,Водитель,Ручной ремень безопасности,2,89,1048,mpv
Suzuki,Sidekick 4x4,1314,74,562,2285,Водитель,Ручной ремень безопасности,2,91,1199,mpv
Toyota,4-Runner 4x4,1306,48,430,821,Водитель,Ручной ремень безопасности,4,90,1751,mpv
Toyota,Camry,871,51,1380,1160,Водитель,Пассивный ремень безопасности,4,87,1261,comp
Toyota,Celica,834,50,1071,906,Водитель,Подушка безопасности у водителя ,2,90,1116,lt
Toyota,Corolla Fx,593,42,719,300,Водитель,Ручной ремень безопасности,2,88,1052,lt
Toyota,Corolla,994,49,1101,451,Водитель,Ручной ремень безопасности,4,89,1075,lt
Toyota,Corolla,1238,54,1375,1342,Водитель,Пассивный ремень безопасности,4,91,1091,lt
Toyota,Cressida,790,51,1632,1246,Водитель,Моторизированный ремень безопасности,4,89,1565,med
Toyota,Pickup,1184,57,437,364,Водитель,Ручной ремень безопасности,-,87,1138,pu
Toyota,Pickup,1520,47,1340,1053,Водитель,Ручной ремень безопасности,-,89,1153,pu
Toyota,Pickup 4x4,1342,49,1104,636,Водитель,Ручной ремень безопасности,-,91,1490,pu
Toyota,Previa,1434,66,332,663,Водитель,Ручной ремень безопасности,-,91,1652,van
Toyota,Tercel,1005,40,1245,367,Водитель,Ручной ремень безопасности,2,88,953,lt
Toyota,Tercel,1138,57,945,778,Водитель,Пассивный ремень безопасности,4,91,962,lt
Toyota,Van,1183,59,1199,474,Водитель,Ручной ремень безопасности,-,89,1486,van
Volkswagen,Fox,1801,52,484,924,Водитель,Ручной ремень безопасности,2,87,971,lt
Volkswagen,Fox,1114,55,344,663,Водитель,Ручной ремень безопасности,2,88,998,lt
Volkswagen,Fox,787,64,139,1019,Водитель,Ручной ремень безопасности,2,89,975,lt
Volkswagen,Passat,1182,59,1104,1436,Водитель,Моторизированный ремень безопасности,4,90,1356,comp
Volkswagen,Vanagon GL,1320,59,2930,1911,Водитель,Ручной ремень безопасности,-,88,1597,van
